TEAM_ID,TEAM_NAME,SEASON,Conference,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1610612738,Boston Celtics,2008-09,East,14,7,7,0.5,252.5,37.42857142857143,84.07142857142857,0.44519966015293116,6.714285714285714,18.642857142857142,0.36015325670498083,20.571428571428573,26.0,0.7912087912087912,10.857142857142858,32.357142857142854,43.214285714285715,22.928571428571427,13.642857142857142,7.785714285714286,4.928571428571429,24.285714285714285,102.14285714285714,0.0
1610612741,Chicago Bulls,2008-09,East,7,3,4,0.42857142857142855,265.0,38.42857142857143,87.14285714285714,0.44098360655737706,7.285714285714286,19.285714285714285,0.37777777777777777,24.142857142857142,29.857142857142858,0.8086124401913876,10.428571428571429,35.142857142857146,45.57142857142857,19.857142857142858,16.142857142857142,6.714285714285714,8.142857142857142,24.571428571428573,108.28571428571429,-4.285714285714286
1610612739,Cleveland Cavaliers,2008-09,East,14,10,4,0.7142857142857143,241.78571428571428,34.785714285714285,75.14285714285714,0.4629277566539924,6.642857142857143,19.785714285714285,0.33574007220216606,21.357142857142858,28.785714285714285,0.7419354838709677,10.071428571428571,30.214285714285715,40.285714285714285,19.142857142857142,12.357142857142858,6.642857142857143,4.571428571428571,20.571428571428573,97.57142857142857,8.5
1610612742,Dallas Mavericks,2008-09,West,10,5,5,0.5,240.0,35.6,75.7,0.4702774108322325,7.3,20.6,0.35436893203883496,23.1,28.4,0.8133802816901409,9.2,31.5,40.7,18.1,13.0,6.5,3.8,22.8,101.6,-0.9
1610612743,Denver Nuggets,2008-09,West,16,10,6,0.625,240.0,37.25,78.4375,0.4749003984063745,8.0625,21.0625,0.3827893175074184,25.375,33.4375,0.7588785046728972,10.6875,29.5625,40.25,22.625,12.125,9.1875,5.1875,25.8125,107.9375,8.625
1610612765,Detroit Pistons,2008-09,East,4,0,4,0.0,240.0,31.5,77.0,0.4090909090909091,3.0,12.25,0.24489795918367346,12.0,14.5,0.8275862068965517,7.5,26.0,33.5,16.5,11.25,4.25,3.0,23.75,78.0,-15.5
1610612745,Houston Rockets,2008-09,West,13,7,6,0.5384615384615384,240.0,34.0,76.07692307692308,0.44691607684529827,6.615384615384615,20.153846153846153,0.3282442748091603,16.846153846153847,21.923076923076923,0.7684210526315789,9.692307692307692,30.846153846153847,40.53846153846154,17.0,14.23076923076923,6.153846153846154,3.1538461538461537,20.076923076923077,91.46153846153847,-1.4615384615384615
1610612747,Los Angeles Lakers,2008-09,West,23,16,7,0.6956521739130435,242.17391304347825,37.43478260869565,80.52173913043478,0.46490280777537796,6.956521739130435,18.434782608695652,0.37735849056603776,20.565217391304348,27.52173913043478,0.7472353870458136,11.130434782608695,30.91304347826087,42.04347826086956,19.391304347826086,13.043478260869565,7.869565217391305,6.260869565217392,23.47826086956522,102.3913043478261,7.217391304347826
1610612748,Miami Heat,2008-09,East,7,3,4,0.42857142857142855,240.0,31.285714285714285,69.57142857142857,0.44969199178644764,7.142857142857143,20.0,0.35714285714285715,18.428571428571427,22.571428571428573,0.8164556962025317,8.857142857142858,29.857142857142858,38.714285714285715,15.0,13.428571428571429,6.142857142857143,5.714285714285714,22.142857142857142,88.14285714285714,0.8571428571428571
1610612740,New Orleans Hornets,2008-09,West,5,1,4,0.2,240.0,27.8,70.2,0.396011396011396,6.0,18.4,0.32608695652173914,22.6,28.0,0.8071428571428572,9.2,27.8,37.0,15.8,18.4,6.6,2.6,24.8,84.2,-24.2
